id;title;artists;langauge;genre
454844;Look What You’ve Done;Muddy Waters;en;blues
1101726;Back-Water Blues; & Bessie Smith;en;blues
2063950;Constipation Blues; & Screamin' Jay Hawkins;en;blues
1141344;Mojo Hand; & Lightnin' Hopkins;en;blues
493353;Looky, Looky, Yonder / Black Betty / Yellow Women's Door Bells; & Lead Belly;en;blues
140564;Bad Bad Leroy Brown; & Jim Croce;en;blues
1466519;Hard Time Killing Floor Blues (Today! Album Version); & Skip James;en;blues
203604;Romeo Is Bleeding; & Tom Waits;en;blues
4334720;Viper King; & Dream Theater;en;blues
203694;(Looking For) The Heart of Saturday Night; & Tom Waits;en;blues
852966;My Babe;The Righteous Brothers;en;blues
135498;Bold as Love; & The Jimi Hendrix Experience;en;blues
1484888;Nobody Loves Me But My Mother; & B.B. King;en;blues
1027954;Statesboro Blues; & The Allman Brothers Band;en;blues
88356;You Know I’m No Good;Amy Winehouse;en;blues
462817;St. James Infirmary Blues; & The White Stripes;en;blues
448909;Mississippi Bo Weavil Blues; & Charley Patton;en;blues
1212427;Empty Bed Blues; & Bessie Smith;en;blues
1329633;Wang Dang Doodle; & Koko Taylor;en;blues
454743;Got My Mojo Working; & Muddy Waters;en;blues
1163190;I’m in the Mood; & John Lee Hooker;en;blues
1313955;Snake Farm; & Ray Wylie Hubbard;en;blues
493092;Police Dog Blues; & Blind Blake;en;blues
3853153;Honesty; & Pink Sweat$;en;blues
445315;Good Morning Little Schoolgirl; & Muddy Waters;en;blues
3073946;Come Love Come; & Rhiannon Giddens;en;blues
1492767;It's A Sin To Be Rich, It's A Low-Down Shame To Be Poor; & Lightnin' Hopkins;en;blues
203430;Fumblin’ with the Blues; & Tom Waits;en;blues
203467;Grapefruit Moon; & Tom Waits;en;blues
913739;I Love You Honey; & John Lee Hooker;en;blues
334573;I Don't Live Today; & The Jimi Hendrix Experience;en;blues
338072;Trouble No More; & The Allman Brothers Band;en;blues
96039;New Coat of Paint; & Tom Waits;en;blues
842321;In My Father’s House;Eric Bibb;en;blues
203330;Christmas Card from a Hooker in Minneapolis; & Tom Waits;en;blues
396862;Natural Blues; & Moby;en;blues
192688;Drifter in the Dark; & Ween;en;blues
810127;You’re No Stranger;War;en;blues
1674150;Nothing Is Easy; & Jethro Tull;en;blues
1211121;Young Woman's Blues; & Bessie Smith;en;blues
488951;My Dearest Darling; & Etta James;en;blues
722343;Billie's Blues; & Billie Holiday;en;blues
455297;Cops & Robbers;Bo Diddley;en;blues
194171;The Piano Has Been Drinking (Not Me) (An Evening with Pete King); & Tom Waits;en;blues
1090231;Give Me Back My Wig; & Hound Dog Taylor;en;blues
893973;Too Old to Die Young; & Brother Dege;en;blues
828508;Rope Stretching Blues Part 2;Blind Blake;en;blues
858446;Just Another Lie;Brenda Lee;en;blues
105989;Foxey Lady; & The Jimi Hendrix Experience;en;blues
494284;Do You Know What It Means to Miss New Orleans?; & Louis Armstrong;en;blues
1723409;Hi-Heel Sneakers; & Tommy Tucker;en;blues
36241;Idlewild Blue (Don'tchu Worry 'Bout Me); & OutKast;en;blues
877576;Getting Late; & Floetry;en;blues
2810748;Sekou Oumarou; & Songhoy Blues;;blues
338070;It's Not My Cross to Bear; & The Allman Brothers Band;en;blues
445324;Feel Like Going Home; & Muddy Waters;en;blues
203580;Please Call Me, Baby; & Tom Waits;en;blues
554635;Good Morning Blues; & Lead Belly;en;blues
1386300;Stack O’ Lee Blues; & Mississippi John Hurt;en;blues
1145629;I’m Walkin'; & Fats Domino;en;blues
2984377;Tell'em Like It Is; & Rag'n'Bone Man;en;blues
493013;That Will Never Happen No More; & Blind Blake;en;blues
203485;I Hope That I Don't Fall in Love with You; & Tom Waits;en;blues
69358;If 6 Was 9; & The Jimi Hendrix Experience;en;blues
954075;Whiskey and Wimmen’;John Lee Hooker & Canned Heat;en;blues
1328892;Everybody's Gotta Live; & Love;en;blues
