id;title;artists;langauge;genre
923602;I’m All She’s Got;George Jones;en;country
102711;The Last Time; & Taylor Swift;en;country
3947017;Foolish One (Taylor's Version) [From The Vault]; & Taylor Swift;en;country
782006;I Hurt For You;Deborah Allen;en;country
907072;Dixie Cannonball;Hank Williams;en;country
336555;I Sacrificed More Than You’ll Ever Lose;Reba McEntire;en;country
935540;Boot Scootin’ Boogie (Club Mix);Brooks & Dunn;en;country
908734;Take It All Out On Me;Mark Wills;en;country
190064;Hark! The Herald Angels Sing;Carrie Underwood;en;country
674942;The Last Gunfighter Ballad;Guy Clark (Ft. Waylon Jennings);en;country
868557;For the Good Times;Billie Jo Spears;en;country
811544;Somebody Led Me Away;Neko Case;en;country
738111;If You Were A Bluebird;Emmylou Harris;en;country
979836;I Will Never Pass This Way Again;Glen Campbell;en;country
452079;Who Do I Know in Dallas;Merle Haggard;en;country
895651;I’d Rather Have America;Wynn Stewart;en;country
208694;Only Dreamin’;Dolly Parton;en;country
948271;That’s What You Do To Me;Charly McClain;en;country
192244;El Rey;George Strait;es;country
583915;Searching for a Soldier’s Grave;Hank Williams;en;country
4809175;Nothing New (Taylor's Version) [From The Vault]; & Taylor Swift;en;country
718797;Blackie’s Gunman;Carlene Carter (Ft. Elizabeth Cook);en;country
987457;Dust On The Bible;Lost Dogs;en;country
205547;Merry Christmas Baby;Jessica Simpson (Ft. Willie Nelson);en;country
688253;Feeling Free;Charlie Daniels;en;country
452708;Heartbreak Hotel;Merle Haggard;en;country
229413;Same Ole Me;George Jones;en;country
191259;Honky Tonk Saturday Night;George Strait;en;country
841561;Glad That You’re Mine;JB And The Moonshine Band;en;country
940970;Can’t Help Falling in Love;Marty Robbins;en;country
220447;Finally Friday;George Jones;en;country
443929;Teddy Bears’ Picnic;Anne Murray;en;country
446734;I’m a Honky Tonk Girl;Loretta Lynn;en;country
344480;Walking After Midnight;Garth Brooks;en;country
732707;Down Came a Blackbird;Lila McCann;en;country
841579;I’m Broke;JB And The Moonshine Band;en;country
190007;I Told You So;Carrie Underwood;en;country
754034;You Can’t Hide Beautiful;Aaron Lines;en;country
